title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
Absence of Malice,1981,0,40716963,40716963,no data,no data,no data,no data
Reds,1981,0,40382659,40382659,no data,no data,no data,no data
The Fox and the Hound,1981,0,39900000,39900000,no data,no data,no data,no data
Tarzan the Ape Man,1981,0,36565280,36565280,no data,no data,no data,no data
Taps,1981,0,35856053,35856053,no data,no data,no data,no data
Sharky's Machine,1981,0,35610100,35610100,no data,no data,no data,no data
Excalibur,1981,0,34967437,34967437,no data,no data,no data,no data
Endless Love,1981,1308650,32492674,31184024,no data,no data,no data,no data
History of the World: Part I,1981,0,31672907,31672907,no data,no data,no data,no data
Bustin' Loose,1981,0,31261269,31261269,no data,no data,no data,no data
The Great Muppet Caper,1981,0,31206251,31206251,no data,no data,no data,no data
An American Werewolf in London,1981,0,30565292,30565292,no data,no data,no data,no data
Neighbors,1981,0,29916207,29916207,no data,no data,no data,no data
Fort Apache the Bronx,1981,0,29200000,29200000,no data,no data,no data,no data
Cinderella,1981,0,28040000,28040000,no data,no data,no data,no data
The French Lieutenant's Woman,1981,0,26890068,26890068,no data,no data,no data,no data
Private Lessons,1981,0,26279000,26279000,no data,no data,no data,no data
Modern Problems,1981,0,26154211,26154211,no data,no data,no data,no data
Halloween II,1981,0,25533818,25533818,no data,no data,no data,no data
Only When I Laugh,1981,0,25524778,25524778,no data,no data,no data,no data
Escape from New York,1981,0,25244626,25244626,no data,no data,no data,no data
Body Heat,1981,0,24058838,24058838,no data,no data,no data,no data
Ghost Story,1981,0,23371905,23371905,no data,no data,no data,no data
Friday the 13th Part 2,1981,0,21722776,21722776,no data,no data,no data,no data
The Final Conflict,1981,0,20471382,20471382,no data,no data,no data,no data
The Incredible Shrinking Woman,1981,0,20259961,20259961,no data,no data,no data,no data
Nighthawks,1981,5000000,19905359,14905359,no data,no data,no data,no data
Mommie Dearest,1981,0,19032261,19032261,no data,no data,no data,no data
Paternity,1981,0,18838812,18838812,no data,no data,no data,no data
Under the Rainbow,1981,0,18826490,18826490,no data,no data,no data,no data
The Howling,1981,0,17985893,17985893,no data,no data,no data,no data
Eye of the Needle,1981,0,17583634,17583634,no data,no data,no data,no data
Take This Job and Shove It,1981,0,17569027,17569027,no data,no data,no data,no data
Outland,1981,0,17374595,17374595,no data,no data,no data,no data
The Devil and Max Devlin,1981,0,16000000,16000000,no data,no data,no data,no data
Caveman,1981,0,15965924,15965924,no data,no data,no data,no data
Continental Divide,1981,0,15578237,15578237,no data,no data,no data,no data
The Night the Lights Went Out in Georgia,1981,0,14923752,14923752,no data,no data,no data,no data
Ragtime,1981,0,14920781,14920781,no data,no data,no data,no data
